timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,left_contact,right_contact,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,time_sec,left_foot_x,left_foot_z,left_sole_roll,left_sole_pitch,left_sole_normal_z,right_foot_x,right_foot_z,right_sole_roll,right_sole_pitch,right_sole_normal_z,left_foot_flat_error,right_foot_flat_error,left_foot_vz,left_foot_vx,left_rel_height,left_flat_error_rate,right_foot_vz,right_foot_vx,right_rel_height,right_flat_error_rate
1777280411995342824,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00171461,0.0147516,-0.072219,-2.25846e-05,0.00255155,-6.19592e-06,-0.0425323,0.395102,0.00306892,1.63614,0.378734,0.395064,nan,nan,0.0,-0.138066,0.0415139,0.00306892,2.51526,-0.0190329,0.0413729,nan,nan,0.0,-0.119029,-0.312074,0.00306892,0.805862,-0.369515,-0.312208,nan,nan,0.0,-0.454539,0.515138,0.00306892,-7.15507,0.26273,0.51455,nan,nan,0.0,0.09478,-0.213725,0.00191622,5.70568,-0.16261,nan,1.78807,0.00416525,1.0,0.046177,-0.00654297,-0.00628774,3.64585,0.0230885,nan,1.04024,0.00242321,1.0,0.187997,-0.411976,0.00920582,4.17583,-0.306002,-0.411729,nan,nan,0.0,0.0518194,-0.0298171,0.00306892,-6.32478,-0.0240903,-0.0298038,nan,nan,0.0,-0.247209,0.303445,0.00920582,2.22222,0.186396,0.303173,nan,nan,0.0,-0.140406,0.51648,-0.00920582,-7.88766,0.419797,0.516255,nan,nan,0.0,0.1029,-0.207495,4.21882e-07,-3.32761,-0.15855,nan,1.71306,0.00399051,1.0,0.0689075,0.00233763,-0.00313987,-1.00291,0.0344537,nan,1.12563,0.00262212,1.0,1777280411.9953427,-0.0007281953468230434,0.25273779779141237,1.599985864324905,-0.0036117761349521906,-0.02918520229023666,-0.01824381617709922,0.25239819714612,-1.6015231406823909,-0.012834166265838633,-0.030719448898306245,1.5999899408953677,1.6015745645972679,0.0,0.0,0.00033960064529237055,0.0,0.0,0.0,-0.00033960064529237055,0.0
1777280412003899216,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00174238,0.0147587,-0.0722188,0.00412896,0.000351317,0.000794701,-0.13424,0.395102,0.00306892,1.3431,0.33288,0.38964,nan,nan,0.0,-0.149937,0.0415139,-0.00306892,1.88034,-0.0249684,0.0216927,nan,nan,0.0,-0.0351866,-0.312074,0.00306892,0.415138,-0.327593,-0.330768,nan,nan,0.0,-0.392097,0.515138,0.00920582,-3.93163,0.293952,0.432637,nan,nan,0.0,0.0600835,-0.213725,-0.00575309,2.42299,-0.179958,nan,1.18472,0.583711,1.0,0.00978704,-0.00673937,-0.0125791,1.45356,0.00489352,nan,0.413441,0.338508,1.0,0.0808813,-0.411976,-0.00306892,1.92918,-0.359559,-0.377432,nan,nan,0.0,-0.0042413,-0.0296254,0.00920582,-2.90598,-0.0521207,-0.0280089,nan,nan,0.0,-0.237458,0.303445,-0.00306892,1.19658,0.191271,0.265165,nan,nan,0.0,-0.18626,0.51648,0.00306892,-3.68742,0.39687,0.484798,nan,nan,0.0,0.162442,-0.207495,0.00382922,-1.40933,-0.128779,nan,2.75312,0.562788,1.0,0.0680334,0.00233763,-0.00314077,-0.405947,0.0340167,nan,1.11034,0.368126,1.0,1777280412.003899,-0.000731046499832147,0.25274174972437136,1.59999391960969,-0.0034429589490222504,-0.029193271474215854,-0.018281494144969497,0.25239626200036136,-1.6015863991896426,-0.012982091234203713,-0.030782613496035394,1.5999976239839557,1.6016390132492584,0.00046187049202025984,-0.00033322008667786005,0.0003454877240099963,0.0008979382856952037,-0.00022616444482917328,-0.004403501207929491,-0.0003454877240099963,0.007532245843691815
1777280412013835126,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00175621,0.0147632,-0.0722207,-0.000185214,0.000300406,0.00224395,-0.140506,0.39491,-0.00306892,0.317459,0.329747,0.368009,nan,nan,0.0,-0.117122,0.0413222,-0.00920582,0.0244217,-0.00856121,-0.00509438,nan,nan,0.0,-0.0364042,-0.312458,-0.046031,0.0244217,-0.328202,-0.340773,nan,nan,0.0,-0.362704,0.515713,0.0644436,-8.76679,0.308648,0.339021,nan,nan,0.0,0.0408585,-0.215797,-0.222529,0.74218,-0.189571,nan,1.0292,1.13414,1.0,-0.00077159,-0.0082752,-0.368106,0.571666,-0.000385795,nan,0.460182,0.593055,1.0,0.0827454,-0.412168,-0.0214806,1.29426,-0.358627,-0.351249,nan,nan,0.0,-0.0500204,-0.0294337,0.046031,-0.757019,-0.0750102,-0.0348119,nan,nan,0.0,-0.268461,0.302295,-0.168779,-0.0732574,0.175769,0.218581,nan,nan,0.0,-0.203578,0.517247,0.0889931,-4.56654,0.388211,0.437573,nan,nan,0.0,0.168613,-0.207493,0.120587,-0.234857,-0.125694,nan,2.80267,1.59987,1.0,0.0971161,0.00194541,0.131815,0.0238326,0.0485581,nan,1.56554,0.820565,1.0,1777280412.013835,-0.0009850631567129842,0.2527899185380174,1.5986998459029307,-0.0021932036930713736,-0.02789983117145453,-0.018462230102650683,0.25244726830479974,-1.6022540235870666,-0.013223785999716667,-0.031449758709197695,1.5987013502941985,1.6023085921934983,0.0048479783018405016,-0.02556565436535785,0.0003426502332176673,-0.1304642204262528,0.005133559215125249,-0.01819027571737841,-0.0003426502332176673,0.06739016279073863
1777280412023855956,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00177147,0.0148418,-0.0722086,-0.00172477,0.00710176,-0.00313189,-0.162303,0.39491,-0.00306892,-0.65934,0.318848,0.344358,nan,nan,0.0,-0.116141,0.0411305,-0.0337563,-0.805862,-0.00807068,-0.0160851,nan,nan,0.0,-0.029629,-0.3138,-0.14423,-0.170937,-0.324815,-0.336892,nan,nan,0.0,-0.329067,0.515713,-0.046031,-16.2393,0.325466,0.298807,nan,nan,0.0,0.0557208,-0.217867,-0.264815,1.13251,-0.18214,nan,1.38286,1.26128,1.0,-0.0231912,-0.0135478,-0.450075,0.619043,-0.0115956,nan,0.293365,0.653306,1.0,0.123646,-0.412359,-0.0153437,1.53846,-0.338177,-0.348627,nan,nan,0.0,0.0116181,-0.0286665,0.0828552,-1.05006,-0.044191,-0.0523884,nan,nan,0.0,-0.266991,0.299227,-0.328352,-0.952377,0.176504,0.188718,nan,nan,0.0,-0.197606,0.518014,0.0828552,-7.30159,0.391197,0.403175,nan,nan,0.0,0.206915,-0.203337,0.227558,0.979772,-0.106542,nan,3.27404,2.42618,1.0,0.108396,0.00770674,0.225749,0.52575,0.0541982,nan,1.51433,1.21302,1.0,1777280412.023856,-0.001029208738778556,0.2527967651636378,1.59678133171359,0.002529537165611119,-0.02598199762561515,-0.018761844797321264,0.2524997682644972,-1.6072716759896575,-0.007315261015519121,-0.03646628588865092,1.5967833352923302,1.6072883230716037,0.0006832297405752764,-0.004405319679283285,0.00029699689914058913,-0.19140010930970303,0.005239009087553108,-0.029898767869325,-0.00029699689914058913,0.49693095907689916
1777280412033850064,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00176594,0.0147436,-0.0723547,0.00035692,-0.0332301,-0.0341469,-0.102812,0.394719,-0.0276184,-0.65934,0.348594,0.327911,nan,nan,0.0,-0.0767063,0.040555,-0.0521679,-1.44078,0.0116468,-0.0148407,nan,nan,0.0,-0.0245201,-0.31495,-0.0767183,-0.561661,-0.32226,-0.33055,nan,nan,0.0,-0.334378,0.514562,-0.156505,-19.1697,0.322811,0.299343,nan,nan,0.0,0.0468535,-0.219931,-0.165073,0.819852,-0.186573,nan,1.25006,1.29963,1.0,-0.0360196,-0.0178417,-0.299105,0.333224,-0.0180098,nan,0.14367,0.573077,1.0,0.101449,-0.412551,-0.00306892,1.68498,-0.349276,-0.346297,nan,nan,0.0,0.0172699,-0.0277081,0.107406,-1.24542,-0.0413651,-0.0577985,nan,nan,0.0,-0.298427,0.294624,-0.487926,-1.63614,0.160787,0.17526,nan,nan,0.0,-0.215304,0.518398,-0.00306892,-9.98779,0.382348,0.388367,nan,nan,0.0,0.176357,-0.201256,0.315333,2.23528,-0.121821,nan,2.62254,2.95198,1.0,0.136095,0.00930931,0.30079,1.19564,0.0680475,nan,1.90544,1.46466,1.0,1777280412.0338502,-0.0007255381744631917,0.25271927648013837,1.5937923526922828,0.005996324607716426,-0.022993585784780696,-0.018882375130790746,0.25252410712749973,-1.6096738539424433,-0.0053396931191339635,-0.03886718013270285,1.5938036326377234,1.60968271047077,-0.007753312224920143,0.030384471542503146,0.00019516935263863555,-0.29814114752326776,0.002435282102314045,-0.012059945604436687,-0.00019516935263863555,0.23957605491239883
1777280412043862640,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.00167868,0.0141187,-0.0728961,-0.0171849,-0.0595582,-0.0666986,-0.0848465,0.393952,-0.0828552,-0.512817,0.357577,0.329135,nan,nan,0.0,-0.142078,0.0397882,-0.0644426,-1.97802,-0.0210388,-0.00485603,nan,nan,0.0,-0.0510905,-0.315142,0.0214815,-0.463982,-0.335545,-0.325375,nan,nan,0.0,-0.339053,0.512261,-0.21174,-20.8791,0.320473,0.311499,nan,nan,0.0,-0.00245242,-0.21993,-0.0671722,1.01515,-0.211226,nan,0.33823,1.301,1.0,-0.0491675,-0.0207931,-0.144827,0.45226,-0.0245837,nan,-0.0602586,0.386273,1.0,0.123779,-0.412359,0.0153437,1.5873,-0.338111,-0.345307,nan,nan,0.0,0.0743565,-0.0267491,0.09513,-1.29426,-0.0128218,-0.0514122,nan,nan,0.0,-0.304056,0.290022,-0.420414,-2.41758,0.157972,0.167477,nan,nan,0.0,-0.18588,0.517631,-0.107406,-10.8669,0.39706,0.383314,nan,nan,0.0,0.175082,-0.199173,0.21585,3.76717,-0.122459,nan,2.57705,3.01931,1.0,0.159495,0.0107149,0.0875838,2.03392,0.0797473,nan,2.37234,1.68856,1.0,1777280412.0438626,2.4909246455470657e-05,0.2525465504122489,1.5916448846849585,0.00828592906172409,-0.020846331935814144,-0.018556979042811284,0.2524749781335654,-1.6106691442021184,-0.0036385993988894364,-0.03986198912730898,1.5916664523587254,1.6106732541053663,-0.017251235562641583,0.07495188997139729,7.157227868348492e-05,-0.21345359668823574,-0.00490682071138824,0.032499347860378905,-7.157227868348492e-05,0.09893180447104878
1777280412053823903,0.981865,0.189583,0.4,0.0,0.0,1.0,1.0,0.00152997,0.0135875,-0.0734818,-0.00874028,0.0127655,-0.0465649,0.00579405,0.392801,-0.138092,-0.561661,0.402897,0.342067,nan,nan,0.0,-0.713215,0.0392127,-0.0705805,-1.05006,-0.306608,-0.00558026,nan,nan,0.0,-0.374325,-0.31495,0.0214815,-0.317459,-0.497163,-0.327277,nan,nan,0.0,-0.415896,0.510344,-0.21174,-19.0232,0.282052,0.319192,nan,nan,0.0,-0.13742,-0.21993,0.0153553,1.13228,-0.27871,nan,-2.065,0.96408,1.0,0.186466,-0.0211864,0.00314587,0.333269,0.0932328,nan,4.0031,0.164311,1.0,0.321317,-0.412168,0.0337563,1.63614,-0.239341,-0.343162,nan,nan,0.0,-0.0964659,-0.0257907,0.101268,-1.44078,-0.0982329,-0.0358092,nan,nan,0.0,-0.401752,0.286763,-0.279252,-3.24786,0.109124,0.161251,nan,nan,0.0,0.0515654,0.515713,-0.230153,-10.1343,0.515783,0.386671,nan,nan,0.0,0.193861,-0.197099,0.0420524,3.53325,-0.11307,nan,2.92001,2.83629,1.0,0.175586,0.0115317,-0.184803,1.89116,0.087793,nan,2.76155,2.04369,1.0,1777280412.053824,0.0004901455872016458,0.25239593752412237,1.5901795620473207,0.00837496723788953,-0.01938134180569523,-0.017970457554871554,0.2523563560554588,-1.6106237476551901,-0.0029540959548950206,-0.039816718762604175,1.5902016160315158,1.610626456753322,-0.015119701278585442,0.04670406751722183,3.958146866356316e-05,-0.14705174281516978,-0.011908213223493464,0.05887962047226157,-3.958146866356316e-05,-0.004697884705228578
1777280412063902624,0.994979,0.100081,0.4,0.0,0.0,1.0,1.0,0.00146185,0.0141095,-0.0736101,-0.00502901,0.082182,0.0305686,-0.0454103,0.391267,-0.174916,0.21978,0.377295,0.367558,nan,nan,0.0,-1.27791,0.0384459,-0.0583057,-1.68498,-0.588956,-0.106968,nan,nan,0.0,-0.556673,-0.314567,0.0276184,-0.512817,-0.588337,-0.384623,nan,nan,0.0,-0.39552,0.507851,-0.230153,-18.0952,0.29224,0.309219,nan,nan,0.0,-0.280403,-0.219929,0.0499036,0.663718,-0.350201,nan,-4.58449,-0.221868,1.0,0.364466,-0.0200065,0.0535205,0.142826,0.182233,nan,7.05162,1.31509,1.0,0.08052,-0.411784,0.0583057,1.78266,-0.35974,-0.308288,nan,nan,0.0,-0.281395,-0.0246401,0.131955,-1.39194,-0.190698,-0.0486717,nan,nan,0.0,-0.369492,0.284845,-0.174916,-3.49207,0.125254,0.142259,nan,nan,0.0,0.246975,0.512645,-0.33449,-9.05983,0.613488,0.431476,nan,nan,0.0,0.190748,-0.199176,3.78629e-05,2.98236,-0.114626,nan,2.95922,2.79285,1.0,0.093298,0.00601664,-0.172317,1.84239,0.046649,nan,1.50829,2.462,1.0,1777280412.0639026,0.00030784573292196027,0.25223090563730366,1.5895212089134227,0.0067417245843346555,-0.018723362409807043,-0.017696495586453566,0.2521599444097999,-1.6065490419312305,-0.009066929506905269,-0.035743629487437534,1.5895355058745808,1.6065746273798918,-0.016374373784951858,-0.018087692096721363,7.09612275037741e-05,-0.06609108640675943,-0.019487856339360867,0.027182357059670238,-7.09612275037741e-05,-0.40202030015129536
1777280412073880598,0.999943,0.0106513,0.4,0.0,0.0,1.0,1.0,0.00147046,0.0151317,-0.072785,0.0126528,0.0652372,0.132395,-0.175192,0.389157,-0.199466,0.170937,0.312404,0.382725,nan,nan,0.0,-1.74642,0.0378709,-0.0705805,-4.95727,-0.823211,-0.322616,nan,nan,0.0,-0.807613,-0.314758,-0.0521679,-1.73382,-0.713806,-0.484095,nan,nan,0.0,-0.401472,0.50555,-0.266977,-17.6557,0.289264,0.296689,nan,nan,0.0,-0.471318,-0.219928,0.0556635,-0.234163,-0.41,nan,-6.68036,-2.24802,1.0,0.575034,-0.0184322,0.0818594,1.26143,0.287517,nan,10.6673,3.90652,1.0,-0.234391,-0.411017,0.0889931,1.5873,-0.517196,-0.305309,nan,nan,0.0,-0.296793,-0.0231061,0.138092,-1.44078,-0.198396,-0.106373,nan,nan,0.0,-0.203182,0.282545,-0.28539,-3.39439,0.208409,0.126722,nan,nan,0.0,0.478187,0.509193,-0.395864,-6.47131,0.729094,0.516061,nan,nan,0.0,0.0730872,-0.199176,0.0305598,2.90407,-0.173456,nan,0.884891,2.86187,1.0,0.0206291,0.00542953,0.0281793,2.1294,0.0103146,nan,0.156887,2.31646,1.0,1777280412.0738807,-0.0005220260262373128,0.2521009599074706,1.5899133351099433,0.004705099042674628,-0.019115632326850374,-0.017654445524584825,0.25193598716027144,-1.6050302651725006,-0.010436642569187464,-0.03422538789462548,1.5899202970958715,1.6050641967310295,-0.013023151045893064,-0.08316968385292527,0.00016497274719917687,0.038563746592058724,-0.02244497831655581,0.00421425396516949,-0.00016497274719917687,-0.15137524341701572
1777280412083940991,0.996831,-0.0795468,0.4,0.0,0.0,1.0,1.0,0.00162785,0.015786,-0.0711204,0.0154852,-3.30914e-05,0.192073,-0.321849,0.38724,-0.187191,-0.317459,0.239075,0.362451,nan,nan,0.0,-2.08141,0.0365286,-0.174916,-13.602,-0.990707,-0.583197,nan,nan,0.0,-0.888416,-0.317251,-0.346765,-4.46886,-0.754208,-0.600686,nan,nan,0.0,-0.354205,0.502482,-0.316077,-18.6813,0.312898,0.290529,nan,nan,0.0,-0.606722,-0.219932,0.0460729,-3.16219,-0.41,nan,-6.67542,-4.57553,1.0,0.788992,-0.0154813,0.267626,4.04617,0.394496,nan,14.2154,7.2544,1.0,-0.476436,-0.409867,0.131955,1.63614,-0.638218,-0.38297,nan,nan,0.0,-0.135287,-0.0219555,0.101268,-2.71062,-0.117644,-0.164361,nan,nan,0.0,-0.0497344,0.278326,-0.432689,-3.24786,0.285133,0.149453,nan,nan,0.0,0.746034,0.505742,-0.297665,-1.48962,0.863017,0.622672,nan,nan,0.0,-0.0875688,-0.197099,0.0572526,2.78781,-0.253784,nan,-2.01261,2.23457,1.0,-0.0358054,0.00957525,0.134626,2.10644,-0.0179027,nan,-1.02904,1.4062,1.0,1777280412.083941,-0.0010038715293892858,0.2519460594185478,1.5893043912013836,-0.000179456185781511,-0.01850700747512324,-0.017315042156131465,0.2516835248064953,-1.6053366939101354,-0.006057398730031538,-0.034532865984800265,1.5893044013330244,1.6053481220264028,-0.01539718789200101,-0.04789568966850728,0.0002625346120525007,-0.06122035410210433,-0.025094887200033895,0.03373686856378335,-0.0002625346120525007,0.02822231970056828
1777280412093819373,0.985867,-0.167533,0.4,0.0,0.0,1.0,1.0,0.00173014,0.0155953,-0.0691304,-0.00175463,-0.0386134,0.196655,-0.357987,0.385514,-0.156505,-0.610504,0.221007,0.308908,nan,nan,0.0,-2.23241,0.0328851,-0.408138,-21.1722,-1.0662,-0.819782,nan,nan,0.0,-0.861683,-0.324154,-0.751834,-7.49695,-0.740842,-0.698021,nan,nan,0.0,-0.321529,0.498647,-0.346765,-20.2442,0.329236,0.296134,nan,nan,0.0,-0.665518,-0.219946,0.082583,-5.27078,-0.41,nan,-6.69317,-6.18732,1.0,0.925135,-0.0101694,0.61713,6.8073,0.462568,nan,16.2372,10.8894,1.0,-0.692957,-0.408141,0.168778,0.0244217,-0.746478,-0.507764,nan,nan,0.0,-0.00694092,-0.0215721,0.0337563,-4.42002,-0.0534705,-0.168851,nan,nan,0.0,0.0798859,0.273532,-0.389727,-2.8083,0.349943,0.209205,nan,nan,0.0,0.845802,0.504208,-0.046031,5.44566,0.912901,0.74485,nan,nan,0.0,-0.182067,-0.197097,0.0401035,2.31663,-0.301033,nan,-3.65783,0.457522,1.0,-0.0586296,0.00898846,-0.0250788,1.6278,-0.0293148,nan,-1.32808,0.161105,1.0,1777280412.0938194,-0.0009310095719664568,0.2517627423701077,1.5877435300893334,-0.010656226794113363,-0.01694542991210049,-0.01707685402105602,0.2515627355064301,-1.604826607847286,-0.005596667562182407,-0.03402318039230584,1.5877792896086111,1.60483636671856,-0.018557368028878217,0.007375888771423774,0.00020000686367760423,-0.15438858412747078,-0.012227621567849041,0.02411202296960094,-0.00020000686367760423,-0.051805501284159
1777280412103863286,0.966921,-0.255076,0.4,0.0,0.0,1.0,1.0,0.00172719,0.0153369,-0.0672814,-0.00236529,0.0193915,0.175628,-0.43524,0.384364,-0.101268,-3.00366,0.18238,0.255434,nan,nan,0.0,-2.31012,0.027133,-0.647498,-30.2564,-1.10506,-0.9864,nan,nan,0.0,-0.982279,-0.332208,-0.71501,-11.6972,-0.80114,-0.74524,nan,nan,0.0,-0.331246,0.495579,-0.291528,-21.3675,0.324377,0.311078,nan,nan,0.0,-0.614293,-0.217887,0.0979518,-6.83718,-0.41,nan,-6.77292,-6.84647,1.0,1.00305,-0.00430559,0.767941,10.8587,0.501527,nan,17.3202,14.0198,1.0,-0.739589,-0.406607,0.156505,-2.41758,-0.769795,-0.637819,nan,nan,0.0,0.111872,-0.0215721,-0.0153437,-4.71307,0.00593579,-0.123646,nan,nan,0.0,0.131443,0.271423,-0.125817,-1.5873,0.375721,0.282379,nan,nan,0.0,0.835065,0.505934,0.291528,16.337,0.907533,0.84914,nan,nan,0.0,-0.19687,-0.197099,-0.0591578,0.628115,-0.308435,nan,-3.86716,-1.7252,1.0,-0.0294505,0.00820559,-0.156545,0.311223,-0.0147252,nan,-0.724306,-0.804067,1.0,1777280412.1038632,-0.0010334464125380666,0.2516687064456893,1.5893000001547497,-0.02380864655723765,-0.018497373606450762,-0.01769500557532549,0.2516873389208238,-1.6073281555619359,-0.005811614167351252,-0.0365230867782404,1.5894783238983712,1.6073386620502117,-0.009362528875350471,-0.0101989519822647,-1.863247513450572e-05,0.16916149542283296,0.012405929674676543,-0.061545221275634304,1.863247513450572e-05,0.24913683193031766
1777280412113855689,0.940074,-0.340971,0.4,0.0,0.0,1.0,1.0,0.00176399,0.0155423,-0.065512,0.0191442,0.0344503,0.17631,-0.450453,0.383789,-0.0214806,-5.49451,0.174774,0.212837,nan,nan,0.0,-2.39177,0.0194631,-0.770247,-37.6801,-1.14588,-1.07909,nan,nan,0.0,-0.970695,-0.33566,-0.174916,-15.1648,-0.795347,-0.774169,nan,nan,0.0,-0.317631,0.493279,-0.21174,-19.4139,0.331184,0.322114,nan,nan,0.0,-0.566165,-0.215806,0.117101,-6.3741,-0.41,nan,-6.85534,-6.97341,1.0,1.0468,0.00135603,0.666939,14.8183,0.523399,nan,17.938,16.1673,1.0,-0.805148,-0.405457,0.09513,-5.54334,-0.802574,-0.730776,nan,nan,0.0,0.106043,-0.0217638,-0.0214806,-3.88278,0.00302171,-0.0586778,nan,nan,0.0,0.155936,0.27219,0.138092,-0.317459,0.387968,0.341959,nan,nan,0.0,0.786666,0.512453,0.813209,24.4444,0.883333,0.904196,nan,nan,0.0,-0.190138,-0.199178,-0.160429,-1.21627,-0.305069,nan,-3.62598,-3.25266,1.0,-0.0119739,0.00464622,-0.247437,-0.574247,-0.00598693,nan,-0.248442,-1.05944,1.0,1777280412.1138558,-0.0017119183355572415,0.25168249484247956,1.5922596412629098,-0.03734948167463773,-0.021446698976309492,-0.019876481042902412,0.2521603989308772,-1.612752959880906,-0.009364860254862365,-0.04194248512165921,1.592697632627127,1.6127801493731921,0.0013798608467996381,-0.0678974398885049,-0.00047790408839765153,0.3221692946711008,0.047341035798986734,-0.218309106689248,0.00047790408839765153,0.5445517284960432
1777280412123890116,0.905616,-0.424099,0.4,0.0,0.0,1.0,1.0,0.00172984,0.0147808,-0.0637538,-0.0570084,-0.119629,0.208277,-0.184515,0.38398,0.0276184,-5.29915,0.307743,0.185268,nan,nan,0.0,-2.18582,0.011601,-0.782521,-42.4176,-1.04291,-1.12751,nan,nan,0.0,-0.877412,-0.334701,0.187191,-16.7277,-0.748706,-0.792531,nan,nan,0.0,-0.350249,0.49232,-0.0644426,-18.8767,0.314876,0.328094,nan,nan,0.0,-0.600704,-0.215801,0.0518451,-7.46947,-0.41,nan,-6.82287,-6.92793,1.0,1.04715,0.00666401,0.339764,16.2002,0.523575,nan,17.922,17.4208,1.0,-0.829633,-0.405457,-0.046031,-6.56898,-0.814817,-0.783359,nan,nan,0.0,0.0937279,-0.0219555,-0.00920582,-1.68498,-0.00313604,-0.0119312,nan,nan,0.0,0.178607,0.274107,0.242428,0.903542,0.399303,0.377139,nan,nan,0.0,0.708367,0.524342,1.36558,24.591,0.844183,0.911279,nan,nan,0.0,-0.177948,-0.201258,-0.334456,-2.19567,-0.298974,nan,-3.25284,-3.81647,1.0,0.0107906,0.00206249,-0.41368,-0.836932,0.0053953,nan,0.323488,-0.759793,1.0,1777280412.1238902,-0.0020902504066537125,0.2517743467009169,1.5928890576754045,-0.049619410792825204,-0.02206374441280623,-0.022700413911214412,0.25304388163373526,-1.6217925458147322,-0.012307064715179117,-0.0509702579914294,1.5936617068843266,1.6218392415717824,0.009153767606415827,-0.03770379735139622,-0.0012695349328183392,0.09607766087555962,0.08804607205380025,-0.2814273510892317,0.0012695349328183392,0.9028105268827872
